ID;Name_NED;reference;RA (hms);Dec (dms);zbest;zspec;zIRS;source type;MIR_class;refmag;refmag_flag;Rband_name;Rband_flux;Rband_eflux;Kband_name;Kband_flux;Kband_eflux;IRAC1_flux;IRAC1_eflux;IRAC4_flux;IRAC4_eflux;24um_name;24um_flux;24um_eflux;70um_name;70um_flux;70um_eflux;1.4GHz_name;1.4GHz_flux;1.4GHz_eflux;lambda_min;lambda_max;lrest_min;lrest_max;nuLnu2.2;enuLnu2.2;nuLnu3.6;enuLnu3.6;nuLnu5.6;enuLnu5.6;nuLnu7.0;enuLnu7.0;nuLnu9.0;enuLnu9.0;nuLnu10.0;enuLnu10.0;nuLnu12.0;enuLnu12.0;nuLnu14.0;enuLnu14.0;nuLnu15.0;enuLnu15.0;nuLnu18.0;enuLnu18.0;nuLnu20.0;enuLnu20.0;nuLnu25.0;enuLnu25.0;C7-10-14;flagsil;Ssil;eSsil;lambdasil;elambdasil;continuumsil;econtinuumsil;peaksil;epeaksil;EWsil;eEWsil;Integralsil;eIntegralsil;SNRsil;flag62;L62;eL62;EW62;eEW62;Lcont62;eLcont62;f62;ef62;snr62;flag113;L113;eL113;EW113;eEW113;Lcont113;eLcont113;f113;ef113;snr113;5-15um coverage;Lum5-15;rAGN;erAGN;LumAGN;eLumAGN;rHII;erHII;LumHII;eLumHII;rPDR;erPDR;LumPDR;eLumPDR;tau97;etau97;chisq_decomp;redchisq;BIBCODE;AGNtype;Sy1;Sy1.X;Sy2;LINER;QSO;QSO2;Starburst;ULIRG;SMG;other
(hms);(dms);;;;;;(AB mag);;;(Jy);(Jy);;(Jy);(Jy);(Jy);(Jy);(Jy);(Jy);;(Jy);(Jy);;(Jy);(Jy);;(Jy);(Jy);(micron);(micron);(micron);(micron);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);(erg/s);;;;;(micron);(micron);(erg/s/micron);(erg/s/micron);(erg/s/micron);(erg/s/micron);(micron);(micron);(erg/s);(erg/s);;;(erg/s);(erg/s);(micron);(micron);(erg/s/micron);(erg/s/micron);(erg/s/cm2);(erg/s/cm2);;;(erg/s);(erg/s);(micron);(micron);(erg/s/micron);(erg/s/micron);(erg/s/cm2);(erg/s/cm2);;(%);(erg/s);;;(erg/s);(erg/s);;;(erg/s);(erg/s);;;(erg/s);(erg/s);;;;;;;;;;;;;;;;;;;
IRAS08474+1813;SDSS J085018.31+180200.9;Imanishi10;08:50:18.3;+18:02:01;0.1454;0.1454; ;S2;MIR_SB;19.03;V;r (SDSS Model) AB;1.24E-4;1.5E-6; ; ; ; ; ; ; ;IRAS 25 microns;0.0;-0.234;IRAS 60 microns;1.28;0.115;FIRST;0.00382;1.46E-4;5.273;35.0;46.036.315;30.557.009; ; ; ; ;8,68E+46;4,37E+45;8,82E+46;4,29E+45;3,32E+46;3.37E42;1,63E+46;2,73E+45;9,66E+46;3,06E+45;1,26E+47;1,20E+45;1,18E+47;1,31E+45;9,23E+46;4,56E+45;1,92E+47;2,93E+45;7,49E+47;2,93E+45;-20.298.141.280.959.800;0;-1.687;0.205;9.8;0.0;1,44E+46;2,93E+44;-1.17E43;6,47E+44;-1.523;0.036;-2,17E+46;7,18E+44;30.22;0;5,73E+45;7,35E+44;0.5018;0.0782;1,14E+46;1,01E+45;1,02E-10;1,31E-11;7.790.520.198.692.690;0;2,66E+45;2,50E+44;0.5548;0.0618;4.79E42;2,85E+44;4,73E-11;4,45E-12;10.612.931.991.088.400;100.0;1,33E+47;0.289;0.012;3.84E43;1,58E+45;0.291;0.0060;3,86E+46;8.27E41;0.42;0.0070;5,57E+46;9,35E+44;2.449;0.052;1049.76;16.66;2010ApJ...709..801I;type2;false;false;true;false;false;false;false;true;false;false
IRAS08591+5248;IRAS 08592+5248;Imanishi10;09:02:47.5;+52:36:30;0.158;0.158; ;ULIRG;MIR_SB; ; ; ; ; ; ; ; ; ; ; ; ;IRAS 25 microns;0.0;-0.162;IRAS 60 microns;1.01;0.0909;NVSS;0.0077;5.0E-4;5.243;35.0;4.527.634;30.224.525; ; ; ; ;1,46E+47;4,33E+45;3,20E+47;5.45E42;1.85E44;3,59E+45;1.11E44;3,01E+45;3,36E+47;3,00E+45;2,35E+47;1,77E+45;2,22E+47;1,96E+45;2,67E+47;3,76E+45;3,29E+47;2,92E+45;6,14E+47;2,67E+45;-0.9806389119523675;0;-0.635;0.059;9.8;0.0;2,72E+46;3,53E+44;-1,28E+46;9,71E+44;-0.711;0.025;-1,92E+46;8,74E+44;22.01;0;2,33E+46;9,76E+44;0.9865;0.0675;2,36E+46;1,28E+45;3,46E-10;1,45E-11;23.893.500.187.507.000;0;1,57E+46;4.01E41;0.8477;0.0295;1,85E+46;4,40E+44;2,33E-10;5,94E-12;3.917.872.701.441.340;100.0;3,81E+47;0.265;0.0050;1,01E+47;2,03E+45;0.225;0.0030;8,57E+46;1,07E+45;0.51;0.0030;1,94E+47;1.23E42;0.767;0.019;4276.67;67.88;2010ApJ...709..801I;no_AGN;false;false;false;false;false;false;false;true;false;false
IRAS10594+3818;SDSS J110213.99+380234.6;Imanishi10;11:02:14.0;+38:02:35;0.158;0.158; ;ULIRG;MIR_SB;17.13; ;r (SDSS Model) AB;5.45E-4;2.4E-6; ; ; ; ; ; ; ;IRS;0.068574;1,32E+12; ; ; ;FIRST;0.00961;1.46E-4;5.227;35.0;45.138.173;30.224.525; ; ; ; ;1,96E+47;2,73E+45;4,32E+47;2,88E+45;2,44E+47;1,63E+45;1,57E+47;1,11E+45;4,40E+47;2,26E+45;3,73E+47;1,84E+45;3,49E+47;2,05E+45;4,01E+47;3,00E+45;4,91E+47;2,15E+45;1,05E+48;2,14E+45;-1.021.273.522.031.570;0;-0.696;0.021;9.8;0.0;4,00E+46;2,51E+44;-2,01E+46;4,69E+44;-0.814;0.0070;-3,24E+46;4,56E+44;71.01;0;3,49E+46;7.73E41;0.9732;0.0295;3,59E+46;7,43E+44;5,17E-10;1,15E-11;4.516.157.053.668.740;0;1,83E+46;2,16E+44;0.7804;0.0114;2,34E+46;2,03E+44;2,71E-10;3.2E-15;8.462.500.204.313.600;100.0;5,28E+47;0.258;0.0030;1,36E+47;1,43E+45;0.245;0.0010;1,29E+47;7,01E+44;0.497;0.0020;2,62E+47;1,02E+45;1.12;0.01;9663.98;153.4;2010ApJ...709..801I;no_AGN;false;false;false;false;false;false;false;true;false;false
IRAS12447+3721;FBQS J124707.7+370536;Imanishi10;12:47:07.7;+37:05:37;0.158;0.158; ;ULIRG;MIR_SB;18.4;g;r (SDSS Model) AB;2.2E-4;1.6E-6; ; ; ; ; ; ; ;IRAS 25 microns;0.0;-0.122;IRAS 60 microns;1.04;0.146;FIRST;0.00217;1.52E-4;5.243;35.0;4.527.634;30.224.525; ; ; ; ;1,45E+47;4,29E+45;3,35E+47;5,51E+45;1.35E44;3,40E+45;1,02E+47;2,88E+45;3,17E+47;3,50E+45;3.7E44;2,64E+45;3,59E+47;2,96E+45;3.42E44;4,23E+45;4,92E+47;3,11E+45;1,15E+48;3,18E+45;-13.507.170.619.084.600;0;-1.021;0.071;9.8;0.0;3,57E+46;4,39E+44;-2,28E+46;9,52E+44;-1.153;0.015;-4,11E+46;8,53E+44;48.23;0;1,45E+46;1,27E+45;0.4457;0.0436;3,24E+46;1,41E+45;2,14E-10;1.88E-14;11.393.617.029.904.100;0;7,10E+45;3,84E+44;0.4251;0.0245;1.67E43;3,24E+44;1,05E-10;5,70E-12;18.465.859.346.291.800;100.0;3.55E44;0.301;0.0050;1,07E+47;1,88E+45;0.344;0.0030;1,22E+47;1,06E+45;0.355;0.0030;1.26E44;1,12E+45;1.881;0.029;1140.43;18.1;2010ApJ...709..801I;no_AGN;false;false;false;false;false;false;true;true;false;false
IRAS13106-0922;IRAS 13106-0922;Imanishi10;13:13:14.8;-09:38:00;0.1745;0.1745; ;ULIRG;MIR_SB;21.4;R; ; ; ; ; ; ; ; ; ; ;IRAS 25 microns;0.0;-0.361;IRAS 60 microns;1.66;0.199;NVSS;0.0035;4,00E+11;5.243;35.0;44.640.274;29.799.915; ; ; ; ;3,64E+47;6,21E+45;3,28E+47;4,25E+45;7,22E+46;2,88E+45;4,49E+46;2,37E+45;1,44E+47;2,24E+45;2,28E+47;2,18E+45;2,02E+47;2.45E42;1,14E+47;7,00E+45;2,05E+47;4,46E+45;1,00E+48;3,49E+45;-19.630.675.030.778.600;0;-1.975;0.084;9.8;0.0;3,85E+46;3,05E+44;-3,31E+46;5,38E+44;-1.601;0.011;-6,06E+46;6,70E+44;90.4;0;1,70E+45;1,30E+45;0.0442;0.0339;3,85E+46;1,40E+45;2,02E-11;1,55E-11;13.049.645.196.411.100;0;5,70E+45;3,20E+44;0.8951;0.0692;6,37E+45;3.39E41;6.78E-14;3,80E-12;17.837.410.240.919.600;100.0;3,76E+47;0.482;0.0050;1,81E+47;1,82E+45;0.057;0.0020;2,13E+46;9,03E+44;0.462;0.0030;1,74E+47;1,16E+45;3.168;0.036;12128.25;192.51;2010ApJ...709..801I;no_AGN;false;false;false;false;false;false;false;true;false;false
IRAS14121-0126;IRAS F14121-0126;Imanishi10;14:14:45.5;-01:40:55;0.1502;0.1502; ;ULIRG;MIR_SB; ; ; ; ; ;K_s_total (2MASS);0.00339;5.59E-4; ; ; ; ;IRAS 25 microns;0.0;-0.23900000000000002;IRAS 60 microns;1.39;0.112;FIRST;0.01226;1,38E+12;5.227;35.0;45.444.274;30.429.491; ; ; ; ;3,37E+47;6,48E+45;4,38E+47;5,60E+45;1,96E+47;3.08E42;1,16E+47;2,80E+45;3,87E+47;2,97E+45;3,53E+47;1,67E+45;3,35E+47;1,83E+45;3.76E44;3,58E+45;4,89E+47;2,92E+45;1,00E+48;2,81E+45;-13.216.733.023.766.700;0;-1.16;0.052;9.8;0.0;4,71E+46;3,78E+44;-3.23E43;8,94E+44;-1.196;0.011;-5,56E+46;8,59E+44;64.79;0;2,44E+46;1,67E+45;0.6094;0.0506;4,01E+46;1,89E+45;4,05E-10;2,77E-11;14.617.051.752.489.100;0;1,32E+46;3,65E+44;0.6673;0.0226;1,98E+46;3,88E+44;2,19E-10;6,04E-12;3.626.883.067.389.380;100.0;5,11E+47;0.351;0.0040;1,79E+47;2,22E+45;0.201;0.0020;1,03E+47;1,09E+45;0.448;0.0030;2,29E+47;1,41E+45;1.644;0.016;6704.68;106.42;2010ApJ...709..801I;no_AGN;false;false;false;false;false;false;false;true;false;false
IRAS14197+0813;SDSS J142211.65+075927.9;Imanishi10;14:22:11.6;+07:59:28;0.131;0.131; ;ULIRG;MIR_SB; ; ;r (SDSS Model) AB;7.94E-4;3.43E-6; ; ; ; ; ; ; ;IRAS 25 microns;0.0;-0.189;IRAS 60 microns;1.1;0.0882;FIRST;0.0053;1,40E+12;5.237;35.0;46.304.154;30.946.064; ; ; ; ;6.41E43;2,68E+45;1,51E+47;3,79E+45;1,09E+47;2.42E42;7,93E+46;2,04E+45;2,11E+47;2,25E+45;2.33E44;1,22E+45;2.36E44;1,31E+45;2,97E+47;2,57E+45;3,83E+47;2,39E+45;7,57E+47;2,01E+45;-0.9341505335712857;0;-0.648;0.06;9.8;0.0;1,84E+46;3,38E+44;-8,77E+45;5,73E+44;-0.817;0.02;-1,51E+46;5,79E+44;26.12;0;7,77E+45;5,71E+44;0.653;0.0609;1.19E43;6,84E+44;1,74E-10;1,28E-11;13.607.842.874.124.300;0;6,43E+45;2.24E41;0.5654;0.024;1,14E+46;2,75E+44;1,44E-10;5,00E-12;28.688.523.288.198.000;100.0;2,03E+47;0.18;0.0070;3,65E+46;1,40E+45;0.474;0.0040;9,60E+46;8,36E+44;0.346;0.0040;7,01E+46;7,23E+44;1.065;0.021;2442.93;38.78;2010ApJ...709..801I;no_AGN;false;false;false;false;false;false;false;true;false;false
IRAS14202+2615;IRAS F14202+2615;Imanishi10;14:22:31.4;+26:02:05;0.1587;0.1587; ;ULIRG;MIR_SB;17.0; ; ; ; ;K_s_total (2MASS);0.00407;3.55E-4; ; ; ; ;IRAS 25 microns;0.152;0.0348;IRAS 60 microns;1.49;0.104;FIRST;0.008310000000000001;1.49E-4;5.227;35.0;45.110.903;30.206.266; ; ; ; ;6.5E44;6,02E+45;8,99E+47;5,32E+45;6,12E+47;3.18E42;3,99E+47;2,10E+45;8,24E+47;3,32E+45;6,67E+47;2,01E+45;6,42E+47;2,28E+45;6,82E+47;3,33E+45;8,46E+47;2,45E+45;1,68E+48;2,52E+45;-0.7202851918895434;0;-0.539;0.016;9.8;0.0;9,12E+46;3,92E+44;-3,80E+46;9,12E+44;-0.641;0.0070;-5,77E+46;8,37E+44;68.88;0;4,37E+46;1,76E+45;0.3995;0.0172;1,09E+47;1,67E+45;6,42E-10;2,58E-11;2.489.328.614.140.360;0;2.24E43;4,06E+44;0.4114;0.0081;5,45E+46;4,18E+44;3,29E-10;5,95E-12;5.523.441.826.192.270;100.0;1,05E+48;0.525;0.0030;5,53E+47;2,65E+45;0.136;0.0010;1,43E+47;1,41E+45;0.339;0.0020;3,58E+47;1,67E+45;0.73;0.0070;6383.23;101.32;2010ApJ...709..801I;no_AGN;false;false;false;false;false;false;false;true;false;false
IRAS14485-2434;IRAS 14484-2434;Imanishi10;14:51:23.8;-24:46:30;0.148;0.148; ;ULIRG;MIR_SB;21.1;1R; ; ; ; ; ; ; ; ; ; ;IRAS 25 microns;0.0;-0.153;IRAS 60 microns;1.02;0.0714;NVSS;0.0053;6,00E+11;5.243;35.0;45.670.733;30.487.804; ; ; ; ;3,17E+47;4,38E+45;3,72E+47;5,32E+45;2,36E+47;3,12E+45;1,39E+47;2,80E+45;4,44E+47;3,50E+45;4,21E+47;2,37E+45;4,10E+47;2,62E+45;4,42E+47;3,95E+45;5,67E+47;2,95E+45;1,06E+48;2,78E+45;-1.136.612.669.226.140;0;-1.041;0.053;9.8;0.0;5,15E+46;3.5E41;-3,33E+46;9,50E+44;-1.132;0.01;-5.78E43;6,57E+44;87.92;0;1,30E+46;1,03E+45;0.2867;0.024;4,55E+46;1,30E+45;2,23E-10;1,76E-11;12.697.780.465.057.200;0;1,19E+46;4,18E+44;0.4895;0.0195;2,42E+46;4,45E+44;2.03E-13;7,16E-12;2.835.987.610.457.150;100.0;4.9E44;0.459;0.0030;2,25E+47;1,63E+45;0.248;0.0020;1,22E+47;9.76E41;0.293;0.0020;1,44E+47;1,12E+45;1.318;0.014;3411.55;54.15;2010ApJ...709..801I;no_AGN;false;false;false;false;false;false;false;true;false;false
IRAS15043+5754;SDSS J150539.56+574307.2;Imanishi10;15:05:39.5;+57:43:07;0.1505;0.1505; ;ULIRG;MIR_SB;18.1;g;r (SDSS Petrosian)AB;3.22E-4;2.9E-6; ; ; ; ; ; ; ;IRAS 25 microns;0.0718;0.0293;IRAS 60 microns;1.02;0.0408;FIRST;0.00264;1.54E-4;5.243;35.0;4.557.149;30.421.555; ; ; ; ;1,18E+47;2,81E+45;2,53E+47;2,33E+45;1.16E44;1,25E+45;7,08E+46;8,61E+44;2.35E44;1,34E+45;2.32E44;1,12E+45;2,09E+47;1,22E+45;1,71E+47;2.27E42;2,38E+47;1,81E+45;6,99E+47;1.77E42;-13.351.867.526.913.900;0;-0.964;0.032;9.8;0.0;2,43E+46;2.05E41;-1.5E43;3,36E+44;-1.073;0.011;-2,59E+46;4,53E+44;57.28;0;1,83E+46;6,44E+44;0.7969;0.0382;2,29E+46;7.45E41;3.01E-13;1,06E-11;28.369.463.160.732.600;0;1,18E+46;1,53E+44;10.434;0.0194;1,13E+46;1,50E+44;1,94E-10;2,53E-12;7.681.044.729.842.740;100.0;3,12E+47;0.219;0.0040;6,82E+46;1,15E+45;0.252;0.0020;7,85E+46;6,38E+44;0.529;0.0020;1,65E+47;6,71E+44;1.575;0.011;7641.05;121.29;2010ApJ...709..801I;no_AGN;false;false;false;false;false;false;true;true;false;false
IRAS21477+0502;IRAS 21477+0502;Imanishi10;21:50:16.3;+05:16:03;0.171;0.171; ;ULIRG;MIR_SB;23.1;R; ; ; ; ; ; ; ; ; ; ;IRAS 25 microns;0.0;-0.275;IRAS 60 microns;1.14;0.148;NVSS;0.0064;4,00E+11;5.243;35.0;447.737;29.888.983; ; ; ; ;1,67E+47;3,08E+45;2,87E+47;2,74E+45;2,41E+47;1,86E+45;2,06E+47;1,43E+45;5.59E44;2.84E42;6.42E44;2,32E+45;6,74E+47;2,68E+45;8,16E+47;3,92E+45;1,03E+48;2,75E+45;1,91E+48;2,93E+45;-0.798266792157232;0;-0.685;0.023;9.8;0.0;5,36E+46;2,92E+44;-2,66E+46;7,04E+44;-0.865;0.0070;-4,67E+46;6,05E+44;77.17;0;1,83E+46;8,10E+44;0.7279;0.0395;2,51E+46;7,93E+44;2,28E-10;1,01E-11;22.601.787.029.175.400;0;8,91E+45;2,33E+44;0.277;0.0076;3,22E+46;2,49E+44;1,11E-10;2,90E-12;3.815.427.083.704.000;100.0;5,03E+47;0.221;0.0020;1,11E+47;1,21E+45;0.528;0.0020;2,66E+47;8,51E+44;0.251;0.0010;1,27E+47;7,46E+44;1.253;0.0090;5290.75;83.98;2010ApJ...709..801I;no_AGN;false;false;false;false;false;false;false;true;false;false
IRAS22088-1831;IRAS 22088-1832;Imanishi10;22:11:33.8;-18:17:06;0.1702;0.1702; ;ULIRG;MIR_SB;18.38; ; ; ; ; ; ; ; ; ; ; ;IRAS 25 microns;0.0;-0.23;IRAS 60 microns;1.73;0.104;NED;0.00929;-99.0;5.243;35.0;44.804.306;29.909.418; ; ; ; ;2,17E+47;3,19E+45;2,90E+47;2,72E+45;7.44E43;1,82E+45;4,12E+46;1,56E+45;3,54E+47;2.49E42;6,55E+47;2.31E42;5,94E+47;2,57E+45;3,83E+47;3,44E+45;6,60E+47;2,47E+45;2,16E+48;3,03E+45;-2.560.396.443.633.680;0;-2.367;0.093;9.8;0.0;6,01E+46;3,52E+44;-5,45E+46;5,99E+44;-1.69;0.0060;-1,02E+47;7.62E41;133.63;0;5,35E+45;6,50E+44;0.1563;0.0193;3,42E+46;7,30E+44;6,73E-11;8,18E-12;8.225.293.361.306.690;0;4,13E+45;1.87E41;0.3171;0.0153;1,30E+46;2,13E+44;5,20E-11;2,35E-12;22.105.486.762.903.900;100.0;4,30E+47;0.269;0.0030;1,16E+47;1,22E+45;0.468;0.0020;2,01E+47;8,08E+44;0.263;0.0010;1,13E+47;6,39E+44;4.435;0.025;7527.81;119.49;2010ApJ...709..801I;no_AGN;false;false;false;false;false;false;true;true;false;false
IRASF15091-2107;2MASX J15115979-2119015;Tommasin08;15:11:59.80;-21:19:02.0;0.0446;0.0446; ;S1n;MIR_AGN;14.83;V; ; ; ;K_s_total (2MASS);0.0377;8.42E-4; ; ; ; ;IRAS 25 microns;0.499;0.03690000000000001;IRAS 60 microns;1.52;0.0913;NVSS;0.0469;0.0015;9.907;36.909;9.484.013;3.533.314; ; ; ; ; ; ; ; ; ; ;1,64E+47;1.43E42;1.96E44;1,30E+45;1,90E+47;1,69E+45;2,16E+47;4,08E+45;2.56E44;2,81E+45;2,63E+47;9,77E+44;2,89E+47;5,58E+45; ;-4; ; ; ; ; ; ; ; ; ; ; ; ; ;-1; ; ; ; ; ; ; ; ; ;0;1.97E42;1,81E+44;0.1216;0.0112;1.62E43;1,45E+44;4,29E-10;3,93E-11;1.091.117.325.512.710;55.159.873.962.402.300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2008ApJ...676..836T;type1;false;false;false;false;false;false;false;false;false;false
IRASF22017+0319;2MASX J22041914+0333511;Tommasin08;22:04:19.20;+03:33:50.0;0.0611;0.0611; ;S1h;MIR_AGN;15.4;V; ; ; ;K_s_total (2MASS);0.0159;7.48E-4; ; ; ; ;IRAS 25 microns;0.722;0.0259;IRAS 60 microns;1.16;0.116;NVSS;0.016100000000000003;0.001100000023841858;9.884;36.823;9.314.861;34.702.667; ; ; ; ; ; ; ; ; ; ;4,38E+47;3,41E+45;5,36E+47;2,65E+45;5.84E44;2,60E+45;6,35E+47;3.87E42;7,48E+47;4,23E+45;7,59E+47;2,79E+45;7,06E+47;7,70E+45; ;-4; ; ; ; ; ; ; ; ; ; ; ; ; ;-1; ; ; ; ; ; ; ; ; ;0;2,18E+45;3,86E+44;0.0487;0.0086;4,48E+46;4,56E+44;2,47E-10;4,37E-11;5.659.642.540.468.610;5.685.138.702.392.570; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2008ApJ...676..836T;type2;false;false;false;false;false;false;false;false;false;false
IRAS_00091-0738;2MASX J00114330-0722073;Imanishi07;00:11:43.30;-07:22:07.0;0.118;0.118; ;ULIRG+HII;MIR_SB;18.41; ; ; ; ;K_s_total (2MASS);0.00169;2.32E-4; ; ; ; ;IRAS 25 microns;0.216;0.0178;IRAS 60 microns;2.63;0.184;NVSS;0.0045000000000000005;5.0E-4;5.222;34.285;46.708.407;30.666.368; ; ; ; ;1,52E+47;3,81E+45;2,55E+47;4,45E+45;5.7E43;2,56E+45;2,32E+46;1,59E+45;2,04E+47;2.23E42;5,50E+47;1.83E42;5.06E44;1,91E+45;2,91E+47;2,55E+45;5,08E+47;2,37E+45;1,51E+48;2,40E+45;-30.223.341.969.655.900;0;-3.222;0.152;9.8;0.0;6,51E+46;5,59E+44;-6,25E+46;6,06E+44;-1.803;0.0040;-1,16E+47;1,03E+45;112.51;2;-5,13E+44;8,72E+44;-0.0164;0.0279;3,13E+46;1,04E+45;-1,44E-11;2,44E-11;0.5884520899861145;0;2.6E42;1,79E+44;0.3961;0.0297;6,56E+45;1,91E+44;7,28E-11;5,02E-12;14.491.340.339.890.700;100.0;3,05E+47;0.246;0.0040;7,51E+46;1,33E+45;0.504;0.0020;1,54E+47;6,53E+44;0.25;0.0030;7,63E+46;9,16E+44;5.877;0.047;8106.76;128.68;2007ApJS..171...72I;no_AGN;false;false;false;false;false;false;true;true;false;false
IRAS_00188-0856;2MASX J00212652-0839261;Imanishi07;00:21:26.50;-08:39:26.0;0.128;0.128; ;ULIRG+LINER;MIR_AGN2;18.37; ; ; ; ;K_s_total (2MASS);0.00357;4.54E-4; ; ; ; ;IRAS 25 microns;0.372;0.0222;IRAS 60 microns;2.59;0.233;FIRST;0.01739;1,40E+12;5.222;34.815;46.294.327;3.086.436; ; ; ; ;5.64E44;6,26E+45;3,77E+47;5,32E+45;1,72E+47;2,38E+45;4,74E+46;1,37E+45;3,19E+47;3,29E+45;5,93E+47;2,56E+45;5.83E44;2,75E+45;5,21E+47;4,31E+45;7,36E+47;3,70E+45;1.58E45;3,26E+45;-24.974.621.809.816.000;0;-2.634;0.097;9.8;0.0;7.95E43;4,55E+44;-7,38E+46;7,01E+44;-1.7;0.0030;-1,33E+47;8,81E+44;151.43;0;3,64E+45;1,27E+45;0.0732;0.0257;4,97E+46;1,45E+45;8,55E-11;2,99E-11;28.607.297.493.621.800;0;5.16E42;2,56E+44;0.3934;0.0211;1,31E+46;2.72E41;1,21E-10;6,00E-12;2.019.663.443.796.480;100.0;4,93E+47;0.623;0.0040;3.07E44;1.87E42;0.239;0.0020;1,18E+47;1,16E+45;0.138;0.0020;6,80E+46;1,10E+45;3.433;0.015;9666.79;153.44;2007ApJS..171...72I;no_AGN;false;false;false;false;false;false;true;true;false;false
IRAS_00397-1312;IRAS 00397-1312;Imanishi09;00:42:15.50;-12:56:03.0;0.261;0.261; ;ULIRG+HII-region;MIR_AGN2;19.45; ; ; ; ; ; ; ; ; ; ; ;IRAS 25 microns;0.0;-0.41300000000000003;IRAS 60 microns;1.83;0.128;NVSS;0.0026000000000000003;5.0E-4;5.227;34.898;4.145.123;2.767.486; ; ; ; ;7,26E+48;5,14E+46;8,13E+48;2,81E+46;1,04E+48;1,15E+46;4,34E+47;7,41E+45;2,52E+48;1,28E+46;4,37E+48;1,42E+46;3,88E+48;1,57E+46;2,75E+48;1,38E+46;3,96E+48;1,22E+46;7,85E+48;1,93E+46;-2.845.443.568.670.200;0;-2.524;0.051;9.8;0.0;8,65E+47;3,25E+45;-7,96E+47;5,28E+45;-1.727;0.0020;-1,47E+48;6,15E+45;238.54;2;-3,92E+46;8,07E+45;-0.0334;0.0069;1,17E+48;1,17E+46;-1,88E-10;3,87E-11;4.850.283.933.136.430;0;3,50E+45;1,65E+45;0.0361;0.017;9,71E+46;1,51E+45;1,68E-11;7,90E-12;2.127.040.360.051.680;100.0;6.64E45;0.887;0.0010;5,89E+48;7.0E42;0.0;0.0;0.0;5,39E+29;0.113;0.0010;7,53E+47;7.0E42;4.937;0.018;11441.03;181.6;2009ApJ...694..751I;no_AGN;false;false;false;false;false;false;true;true;false;false
IRAS_00456-2904;2MASX J00480675-2848187;Imanishi07;00:48:06.80;-28:48:19.0;0.11;0.11; ;ULIRG+HII;MIR_SB;17.5; ; ; ; ;K_s_total (2MASS);0.00397;3.91E-4; ; ; ; ;IRAS 25 microns;0.14100000000000001;0.0211;IRAS 60 microns;2.6;0.182;NVSS;0.0214;8,00E+10;5.222;34.815;47.045.045;31.364.862; ; ; ; ;1,14E+47;3,27E+45;2,58E+47;4,14E+45;1,74E+47;1,92E+45;8,60E+46;1,20E+45;2.8E44;2.18E42;2,35E+47;1,32E+45;2.46E44;1,49E+45;3,05E+47;2,44E+45;4,08E+47;2,16E+45;8,33E+47;1,85E+45;-11.429.112.791.203.700;0;-0.791;0.033;9.8;0.0;2.23E43;2,80E+44;-1,22E+46;3,86E+44;-0.851;0.017;-1.89E43;5,79E+44;32.62;0;2,13E+46;9,06E+44;0.9544;0.058;2,23E+46;9,72E+44;6,94E-10;2,95E-11;23.531.005.423.192.100;0;1,20E+46;2,28E+44;0.8294;0.02;1,45E+46;2.16E41;3,92E-10;7,42E-12;5.278.414.626.570.040;100.0;3.12E44;0.19;0.0050;5,93E+46;1,46E+45;0.281;0.0030;8,76E+46;7,89E+44;0.529;0.0030;1,65E+47;9,08E+44;1.059;0.014;7139.38;113.32;2007ApJS..171...72I;no_AGN;false;false;false;false;false;false;true;true;false;false
IRAS_00482-2721;IRAS 00482-2720;Imanishi07;00:50:40.30;-27:04:41.0;0.129;0.129; ;ULIRG+LINER;MIR_SB;18.53; ; ; ; ; ; ; ; ; ; ; ;IRAS 25 microns;0.0;-0.182;IRAS 60 microns;1.13;0.136;NVSS;0.0063;5.0E-4;5.3;34.991;46.944.203;30.992.916; ; ; ; ;3,42E+46;2,08E+45;5,33E+46;5,43E+45;2,34E+46;3,12E+45;9,87E+45;4,03E+45;3,93E+46;1,75E+45;9.42E43;1.51E42;9,26E+46;1,90E+45;9,65E+46;3,07E+45;1,38E+47;2,14E+45;4,04E+47;1.79E42;-2.141.027.114.868.110;0;-1.77;0.319;9.8;0.0;8,37E+45;1.49E41;-6,94E+45;4,97E+44;-1.565;0.062;-1,31E+46;5,76E+44;22.77;0;3,74E+45;4,59E+44;0.5784;0.085;6,47E+45;5,24E+44;8,64E-11;1.06E-14;8.152.830.316.684.040;0;1,57E+45;2,07E+44;0.9321;0.185;1,69E+45;2,52E+44;3,64E-11;4,77E-12;762.374.115.327.583;100.0;6,51E+46;0.315;0.011;2,05E+46;6,96E+44;0.386;0.0060;2,52E+46;4,00E+44;0.299;0.0070;1,95E+46;4,88E+44;3.376;0.126;802.02;12.73;2007ApJS..171...72I;no_AGN;false;false;false;false;false;false;true;true;false;false
